state,chart_id
Alabama,2UUPw
Alaska,PqJ7L
Arizona,2OsIN
Arkansas,dr6SS
California,cjBxz
Colorado,vXV9y
Connecticut,2yYgi
Delaware,eUAzR
District of Columbia,zRCgL
Florida,klMFs
Georgia,96I3y
Hawaii,ivzgj
Idaho,yLOTR
Illinois,a5sft
Indiana,KYEFb
Iowa,FmLyB
Kansas,wrhUw
Kentucky,b7ZWl
Louisiana,GuqLe
Maine,N5A92
Maryland,4BvVI
Massachusetts,AKuz2
Michigan,JbESG
Minnesota,EhDo4
Mississippi,PhMxs
Missouri,Ipz33
Montana,rz7Ed
Nebraska,mCflF
Nevada,Sb7zT
New Hampshire,apPYE
New Jersey,XrIpH
New Mexico,wVdJj
New York,k8K93
North Carolina,H59sm
North Dakota,KoZh1
Ohio,Z1jZu
Oklahoma,cqEbS
Oregon,F6nuD
Pennsylvania,QZxJX
Rhode Island,UEvrN
South Carolina,72aOo
South Dakota,oX5JB
Tennessee,gTWwd
Texas,nBTMg
Utah,Nvo3I
Vermont,aiCZw
Virginia,5pi7j
Washington,Ttppb
West Virginia,Hz2u5
Wisconsin,DdMXf
Wyoming,BrZQ6
